seed,arm,round,accuracy,macro_f1,loss
58,public_syn,48,0.365234375,0.2476868246099015,1.3811824787408113
58,public_syn,49,0.365234375,0.2476868246099015,1.3811834901571274
58,same_source_real_matched,-1,0.365234375,0.24650103821354413,1.388909848406911
58,same_source_real_matched,0,0.375,0.2546109993293092,1.3808879721909761
58,same_source_real_matched,1,0.388671875,0.26331789841100056,1.3753154762089252
58,same_source_real_matched,2,0.388671875,0.27105552853229564,1.3693181946873665
58,same_source_real_matched,3,0.40234375,0.30461987925568357,1.3630049657076597
58,same_source_real_matched,4,0.45703125,0.4020622653767839,1.356826402246952
58,same_source_real_matched,5,0.5078125,0.471696523120811,1.3499765433371067
58,same_source_real_matched,6,0.544921875,0.5198469592590723,1.3445372972637415
58,same_source_real_matched,7,0.5625,0.5396348041953329,1.3381102662533522
58,same_source_real_matched,8,0.587890625,0.5618399447008718,1.3306512255221605
58,same_source_real_matched,9,0.6171875,0.590133598257905,1.3234430234879255
58,same_source_real_matched,10,0.6328125,0.612633689415734,1.3172016348689795
58,same_source_real_matched,11,0.640625,0.6181677396058972,1.3105777017772198
58,same_source_real_matched,12,0.66015625,0.6453735333163912,1.3051567543298006
58,same_source_real_matched,13,0.671875,0.6538635934785696,1.297799974679947
58,same_source_real_matched,14,0.685546875,0.6735313466070975,1.2918098121881485
58,same_source_real_matched,15,0.6953125,0.6863413844722256,1.2855537123978138
58,same_source_real_matched,16,0.701171875,0.6923793376295119,1.2795332875102758
58,same_source_real_matched,17,0.703125,0.6939798098049127,1.2733135465532541
58,same_source_real_matched,18,0.703125,0.6922005433528222,1.2667016983032227
58,same_source_real_matched,19,0.7109375,0.7014594400923331,1.2602145001292229
58,same_source_real_matched,20,0.712890625,0.7007935365560938,1.2529809605330229
58,same_source_real_matched,21,0.720703125,0.7114899296314494,1.2481254674494267
58,same_source_real_matched,22,0.7265625,0.7185607518729248,1.2427252009510994
58,same_source_real_matched,23,0.732421875,0.7251352151849404,1.2365846987813711
58,same_source_real_matched,24,0.73046875,0.7210186755257094,1.2303086444735527
58,same_source_real_matched,25,0.744140625,0.7362202971733787,1.2253358662128448
58,same_source_real_matched,26,0.751953125,0.7437711126633177,1.219089975580573
58,same_source_real_matched,27,0.748046875,0.7390373922747744,1.2131231687963009
58,same_source_real_matched,28,0.748046875,0.7404977095949318,1.2087364923208952
58,same_source_real_matched,29,0.74609375,0.7377088311713487,1.203928740695119
58,same_source_real_matched,30,0.748046875,0.739592909510435,1.198766727000475
58,same_source_real_matched,31,0.75390625,0.7451308681837415,1.1936775706708431
58,same_source_real_matched,32,0.751953125,0.7442525988423992,1.1896951105445623
58,same_source_real_matched,33,0.7578125,0.749151037911986,1.184717532247305
58,same_source_real_matched,34,0.76171875,0.7538198295449963,1.1806724350899458
58,same_source_real_matched,35,0.76953125,0.7618438021514813,1.1764466110616922
58,same_source_real_matched,36,0.771484375,0.7641514644333814,1.1724950708448887
58,same_source_real_matched,37,0.7734375,0.7664868475307152,1.1689888574182987
58,same_source_real_matched,38,0.771484375,0.7641936382044444,1.165559332817793
58,same_source_real_matched,39,0.7734375,0.7664868475307152,1.1627776715904474
58,same_source_real_matched,40,0.771484375,0.7641936382044444,1.1595914717763662
58,same_source_real_matched,41,0.771484375,0.7641936382044444,1.1567824482917786
58,same_source_real_matched,42,0.76953125,0.7622783440391898,1.1548547204583883
58,same_source_real_matched,43,0.7734375,0.7664868475307152,1.1526282094419003
58,same_source_real_matched,44,0.775390625,0.7687709513335907,1.1509402468800545
58,same_source_real_matched,45,0.775390625,0.7692455903282437,1.1494846679270267
58,same_source_real_matched,46,0.775390625,0.7692455903282437,1.1480886694043875
58,same_source_real_matched,47,0.775390625,0.7692455903282437,1.147063123062253
58,same_source_real_matched,48,0.775390625,0.7692455903282437,1.146383022889495
58,same_source_real_matched,49,0.775390625,0.7692455903282437,1.1460843570530415
58,real_matched,-1,0.365234375,0.24650103821354413,1.388909848406911
58,real_matched,0,0.369140625,0.24959115166121532,1.384319307282567
58,real_matched,1,0.384765625,0.2604364393076588,1.3794081583619118
58,real_matched,2,0.38671875,0.2622230965412097,1.3743803780525923
58,real_matched,3,0.40625,0.2841625819529155,1.370306285098195
58,real_matched,4,0.41796875,0.3107759859298024,1.3652699496597052
58,real_matched,5,0.421875,0.34733642717543334,1.3611011616885662
58,real_matched,6,0.458984375,0.41845354336066415,1.3553785532712936
58,real_matched,7,0.51953125,0.5003321253132761,1.3493792582303286
58,real_matched,8,0.5546875,0.5493482322702068,1.344260273501277
58,real_matched,9,0.580078125,0.5778902417610623,1.3404087256640196
58,real_matched,10,0.615234375,0.6116486468713922,1.3325541485100985
58,real_matched,11,0.63671875,0.634539660007066,1.3269390892237425
58,real_matched,12,0.6484375,0.6450813847148683,1.3209450896829367
58,real_matched,13,0.66796875,0.6668492907834858,1.3159473724663258
58,real_matched,14,0.669921875,0.6673958756183932,1.312288461253047
58,real_matched,15,0.6875,0.6860258456834799,1.3064816128462553
58,real_matched,16,0.685546875,0.6814109504757615,1.300614783540368
58,real_matched,17,0.705078125,0.7022738217902519,1.2950582671910524
58,real_matched,18,0.71484375,0.7113824076945501,1.2888084016740322
